name,mid,weight
Nusrat Fateh Ali Khan,/m/0nljl,68633.0
Mary J. Blige,/m/01vvyvk,68353.0
Wolfgang Amadeus Mozart,/m/082db,68330.0
Attaullah Khan Esakhelvi,/m/0cbj6h,68254.0
Little Mix,/m/0hr30dv,68170.0
50 Cent,/m/01vvyc_,67736.0
Jenni Rivera,/m/01v5vfj,66934.0
Mumford & Sons,/m/04zzs32,66875.0
Kenny Rogers,/m/01n8gr,64627.0
Barbra Streisand,/m/03f2_rc,64380.0
Freddie Mercury,/m/01vn0t_,63880.0
Heart,/m/01q99h,63455.0
Guns N' Roses,/m/081wh1,63443.0
Chicago,/m/01vrwfv,63137.0
Rush,/m/01t_xp_,62312.0
Gummybear,/m/0h211yz,61890.0
Tom Jones,/m/0cg9y,61225.0
Muse,/m/0187x8,61222.0
C. Aswath,/m/0byp79,61215.0
Willie Nelson,/m/0137n0,61164.0
Brian Wilson,/m/0kzy0,61117.0
Neil Young,/m/0m2l9,60905.0
The Weeknd,/m/0gjdn4c,60459.0
The Notorious B.I.G.,/m/01vz0g4,60382.0
The Carpenters,/m/03n2zz,59974.0
Miguel Jontel Pimentel,/m/0cz9brt,59665.0
Miss Pooja,/m/03c169c,59508.0
J. Cole,/m/065zh2l,59301.0
Olly Murs,/m/0ch3wbh,59081.0
Babbu Maan,/m/01rxfsw,57616.0
Eric Church,/m/0cjrgx,57177.0
Florida Georgia Line,/m/0k97tys,56834.0
Trey Songz,/m/074vr1,56643.0
Pirates of Penzance,/m/0fqwk4k,56529.0
Mac Miller,/m/0dln428,56506.0
The Doors,/m/07bzp,56166.0
The Wiggles,/m/0210_y,56026.0
David Bowie,/m/01vsy7t,56001.0
Jimmy Buffett,/m/0168cl,55537.0
Foreigner,/m/027kwc,54659.0
Chief Keef,/m/0k8t8kx,54592.0
Air Supply,/m/01p0jh,54519.0
Nelly,/m/016pns,54517.0
Aryans,/m/01r7_tv,54390.0
Arnel Pineda,/m/03csddg,54361.0
Madhuri Dixit,/m/01wttr1,54242.0
Josh Groban,/m/02bc74,54222.0
"""Weird Al"" Yankovic",/m/01wj0gb,54085.0
Matchbox Twenty,/m/028d8m,54070.0
Jimi Hendrix,/m/01vsy3q,54013.0
Gurdas Maan,/m/01qj_k4,53423.0
John Denver,/m/0f_y9,52727.0
Austin Mahone,/m/0hr9rgd,52443.0
Eric Clapton,/m/02qwg,52385.0
OneRepublic,/m/02q3w3v,52276.0
Duelo,/m/0bxy90,52228.0
James Taylor,/m/01309x,52158.0
Hall & Oates,/m/017n20,51729.0
Chris Tomlin,/m/01mhvx1,51594.0
Barry White,/m/0flpy,51252.0
Adam Levine,/m/044mfr,50768.0
George Michael,/m/01vvyfh,50417.0
Paul McCartney,/m/03j24kf,50288.0
Darius Rucker,/m/02_qfv,50228.0
Dolly Parton,/m/02f1c,49433.0
Reba McEntire,/m/01dpsv,49419.0
REO Speedwagon,/m/06jbz,48946.0
"Earth, Wind & Fire",/m/0163m1,48935.0
Sammy Hagar,/m/02rt2d,48871.0
T.I.,/m/03f7lp0,48833.0
Kid Cudi,/m/04n2vgk,48767.0
Spice Girls,/m/071kj,48231.0
Flo Rida,/m/02vwckw,47921.0
Van Halen,/m/0ycfj,47796.0
ASAP Rocky,/m/0hhqp47,47752.0
Kiss,/m/011xhx,47607.0
John Legend,/m/01wcp_g,47351.0
Psy,/m/0cxm11,47275.0
Barry Manilow,/m/03f7m4h,47267.0
Styx,/m/013w2r,47228.0
Dierks Bentley,/m/06mf7y,47014.0
Janet Jackson,/m/0gbwp,46893.0
Tyga,/m/0414qmv,46602.0
'N Sync,/m/0hvbj,46523.0
Passenger,/m/0qfmt81,46465.0
Depeche Mode,/m/02cpp,46108.0
Lynyrd Skynyrd,/m/04r1t,45981.0
Marvin Gaye,/m/012z8_,45915.0
Krishnakumar Kunnath,/m/083cgg,45613.0
Def Leppard,/m/017mbb,45589.0
Dave Matthews Band,/m/013w8y,45582.0
Hunter Hayes,/m/01sj7yt,45581.0
John Fogerty,/m/016s_5,45347.0
Noor Jehan,/m/01x2bq4,45316.0
New Kids on the Block,/m/016kq3,45196.0
Carole King,/m/013423,45172.0
Yusuf Islam,/m/0kj34,45023.0
Evanescence,/m/01gtx7,44846.0
/Passenger,/m/0dqr8kq,44839.0
The Killers,/m/03d9d6,44767.0
The Temptations,/m/012x03,44569.0
Ludwig van Beethoven,/m/04k15,44487.0
Sting,/m/0lbj1,44335.0
2 Chainz,/m/0j45n9v,43688.0
Cher,/m/01vtj38,43478.0
The Who,/m/01v0sxx,43446.0
Michael Bolton,/m/02p68d,43325.0
Chris Young,/m/01t2ghc,43081.0
ZZ Top,/m/089tm,42824.0
The Four Seasons,/m/0162cq,42794.0
Trace Adkins,/m/01wzk3c,42619.0
Blue,/m/04ldxt,42474.0
Don Moen,/m/094xmk,42278.0
Oasis,/m/01s560x,42091.0
Victoria Justice,/m/07w71b,41922.0
Enya,/m/01vvpjj,41772.0
Shazia Manzoor,/m/08083yh,41768.0
Pearl Jam,/m/0d193h,41595.0
The Chipmunks,/m/01k_p41,41508.0
Sheryl Crow,/m/06rgq,41463.0
Ludacris,/m/01vw37m,41360.0
Amitabh Bachchan,/m/0tj9,41227.0
Sean Paul,/m/01wglss,41056.0
Mika Singh,/m/0gcsc4,41055.0
Udit Narayan,/m/031104,41041.0
Foo Fighters,/m/02r3zy,40906.0
Dean Martin,/m/013qvn,40763.0
Enigma,/m/02ltrn,40631.0
Sleeping with Sirens,/m/0c3zl14,40435.0
S. P. Balasubrahmanyam,/m/06zp02,40415.0
JLS,/m/053wg7p,40298.0
T. M. Soundararajan,/m/0gmt77,40123.0
Gary Allan,/m/01l8n7l,40084.0
Mötley Crüe,/m/04x73,40063.0
Aaliyah,/m/0x3n,39897.0
Dixie Chicks,/m/018ndc,39803.0
Tina Turner,/m/01vwyqp,39615.0
Alabama,/m/0m724,39606.0
Luther Vandross,/m/01k_mc,39449.0
Sharry Mann,/m/0h1fq3_,39420.0
Alanis Morissette,/m/0gdh5,39319.0
Jagjit Singh,/m/01m5fvh,39312.0
Selena,/m/01l72d6,39305.0
DMX,/m/01vvzb1,39151.0
T-Pain,/m/0837ql,39034.0
Cher Lloyd,/m/0h1h5ns,38873.0
Mafikizolo,/m/01v68xq,38872.0
Simon and Garfunkel,/m/06nl6,38848.0
Carlos Santana,/m/01304j,38832.0
Grateful Dead,/m/0394y,38827.0
Will Smith,/m/0147dk,38499.0
Steely Dan,/m/014kyy,38493.0
K. J. Yesudas,/m/02bgzb,38485.0
Jack Johnson,/m/02h7gb,38407.0
Stevie Nicks,/m/094xh,38371.0
Will.i.am,/m/01w9wwg,38305.0
Destiny's Child,/m/016ppr,38229.0
John Lennon,/m/01vsl3_,38091.0
Robbie Williams,/m/09qr6,37967.0
Kirk Franklin,/m/01kwlwp,37929.0
Mohit Chauhan,/m/03hkcvl,37575.0
R.E.M.,/m/015df6,37429.0
Las Ketchup,/m/01my049,37332.0
Fantasia,/m/01rj4bk,37281.0
Mindless Behavior,/m/0g6klb9,37280.0
Shaan,/m/01wtn7j,37204.0
Vince Gill,/m/02fn5r,37172.0
Toni Braxton,/m/02h9_l,37162.0
B.o.B,/m/047ts85,37088.0
Marc Anthony,/m/01wv9p,37076.0
Kamal Haasan,/m/01x2tm8,36983.0
Amy Winehouse,/m/01pq5j7,36862.0
George Harrison,/m/03bnv,36776.0
Colbie Caillat,/m/02w4fkq,36635.0
Ray Manzarek,/m/021r7r,36583.0
Jatin-Lalit,/m/0dd7bq,36374.0
Banda el Recodo,/m/05chjc,36344.0
Lil Boosie,/m/01s36sp,35667.0
Good Charlotte,/m/01hmdl,35589.0
Ray Charles,/m/07s3vqk,35579.0
The Civil Wars,/m/0fs0bm6,35421.0
Falak,/m/01wwbrc,35349.0
The Jackson 5,/m/015srx,35285.0
Vicente Fernández,/m/067swc,35255.0
Bilal Khan,/m/0vpnkzl,35208.0
Burt Bacharach,/m/018gqj,35089.0
Martina McBride,/m/02n1r_,34963.0
Owl City,/m/04dzm2z,34886.0
Keyshia Cole,/m/01pkxs9,34800.0
Kareena Kapoor,/m/02756j,34667.0
Pat Benatar,/m/01r9fv,34647.0
LMFAO,/m/05mw66v,34549.0
Bazz,/m/01v8p31,34544.0
Bohemia the Punjabi Rapper,/m/01w99fy,34463.0
Anne Murray,/m/0qjx0,34250.0
Aretha Franklin,/m/012vd6,33902.0
Casting Crowns,/m/053vlj,33891.0
LL Cool J,/m/01vvyd8,33799.0
Ciara,/m/03h_0_z,33773.0
Ellie Goulding,/m/080gct2,33648.0
K.Michelle,/m/0g57r05,33611.0
Shinedown,/m/04jnpd,33599.0
Seal,/m/01vsykc,33496.0
Bastille,/m/0n49g_9,33444.0
The Police,/m/0frsw,33387.0
Grin Department,/m/03f5xr0,33374.0
Blink-182,/m/0120rz,33350.0
Raj Kapoor,/m/021j72,33336.0
Gwen Stefani,/m/016fnb,33121.0
Johann Sebastian Bach,/m/03_f0,33112.0
Buddy Holly,/m/01vs_yt,33081.0
Jason Derülo,/m/04fzp51,33068.0
Jewel,/m/0152cw,32919.0
Chris Hadfield,/m/0kf2s,32880.0
Shamshad Begum,/m/01wd4cq,32863.0
Madness,/m/0b0w7,32854.0
Roy Orbison,/m/06m61,32629.0
The Pussycat Dolls,/m/01wvp9,32570.0
Ella Fitzgerald,/m/0d9xq,32564.0
