name,mid,weight
Jonas Brothers,/m/0cbm64,13301.0
Bon Jovi,/m/0g_g2,13191.0
Dave Grohl,/m/0285c,12824.0
Skillet,/m/01j59b0,12782.0
The Black Keys,/m/03vhvp,12726.0
French Montana,/m/080c3gp,12258.0
Sharry Mann,/m/0h1fq3_,12214.0
Joshua Homme,/m/01vng3b,12203.0
Rob Zombie,/m/01wg982,12162.0
Kendrick Lamar,/m/0g9x698,12023.0
Britney Spears,/m/015f7,11942.0
Ed Sheeran,/m/0g9sr1k,11886.0
John Fogerty,/m/016s_5,11871.0
City and Colour,/m/02p608_,11754.0
Richie Sambora,/m/0zjpz,11617.0
Adele,/m/02z4b_8,11537.0
Justin Bieber,/m/06w2sn5,11476.0
Atif Aslam,/m/0501yh,11272.0
Will.i.am,/m/01w9wwg,11225.0
Eric Church,/m/0cjrgx,11210.0
Brad Paisley,/m/03gr7w,11208.0
Jack Johnson,/m/02h7gb,11160.0
Empire of the Sun,/m/04n4fqy,11103.0
Future,/m/0hhwdgn,10986.0
Blink-182,/m/0120rz,10982.0
Travis Barker,/m/03xl77,10907.0
Wiz Khalifa,/m/026yh6k,10858.0
Foo Fighters,/m/02r3zy,10856.0
Babbu Maan,/m/01rxfsw,10838.0
The-Dream,/m/02wwwv5,10628.0
Mark Hoppus,/m/0191cq,10354.0
Thomas DeLonge,/m/04_jsg,10340.0
Maroon 5,/m/02k5sc,10310.0
Kanth Kaler,/m/05mqkzj,10099.0
Sleeping with Sirens,/m/0c3zl14,9999.0
Miguel Jontel Pimentel,/m/0cz9brt,9981.0
Prince,/m/01vvycq,9855.0
Lady Antebellum,/m/049fvbf,9626.0
The Stone Roses,/m/094qh,9574.0
The Weeknd,/m/0gjdn4c,9557.0
Panic! at the Disco,/m/089pg7,9529.0
Depeche Mode,/m/02cpp,9401.0
Skrillex,/m/0462ph1,9366.0
Hunter Hayes,/m/01sj7yt,9189.0
The Lonely Island,/m/07nxsq,9146.0
OneRepublic,/m/02q3w3v,9132.0
Disclosure,/m/0n5vlzp,9103.0
The Strokes,/m/0130zt,9067.0
Taylor Swift,/m/0dl567,9014.0
Falling in Reverse,/m/0cc56v_,8949.0
The Civil Wars,/m/0fs0bm6,8811.0
Wu-Tang Clan,/m/0827v,8793.0
Jessie J,/m/0ds7zj1,8721.0
Mumford & Sons,/m/04zzs32,8706.0
AC/DC,/m/0134s5,8655.0
Brantley Gilbert,/m/0ch47pk,8623.0
Modest Mouse,/m/01k_yf,8586.0
Cliff Williams,/m/04lzkc,8309.0
Isaac Brock,/m/02xnd3,8267.0
Keith Urban,/m/05cljf,8205.0
System of a Down,/m/073gq,8201.0
Dream Theater,/m/0jn38,8192.0
Brian Johnson,/m/02nwzm,8099.0
The Postal Service,/m/01q0md,8087.0
Jimi Hendrix,/m/01vsy3q,8063.0
Volbeat,/m/0ghczw,8031.0
Dr. Dre,/m/01vvydl,7997.0
Frank Ocean,/m/0gmbh5m,7945.0
Marc Anthony,/m/01wv9p,7930.0
Korn,/m/0c9l1,7923.0
Asking Alexandria,/m/07s7mkl,7916.0
Darius Rucker,/m/02_qfv,7802.0
Nicki Minaj,/m/047sxrj,7679.0
Rise Against,/m/044cyx,7661.0
Deep Purple,/m/0cfgd,7639.0
"Tyler, the Creator",/m/0crdtjw,7598.0
Big Sean,/m/03f771p,7534.0
Serj Tankian,/m/01386_,7521.0
Fleetwood Mac,/m/033s6,7461.0
Neko Case,/m/01skz_,7382.0
Hillsong United,/m/01sl2n9,7309.0
Akon,/m/0dt1cm,7263.0
Hillsong Music,/m/059k6b,7215.0
Steve Morse,/m/049b20,7201.0
Lindsey Buckingham,/m/094wr,7159.0
Radiohead,/m/09jm8,7075.0
Ian Gillan,/m/0dgfsk,6967.0
Megadeth,/m/0560w,6925.0
D'Angelo,/m/01wzlxj,6883.0
Rick Ross,/m/01ssf87,6848.0
Angus Young,/m/02p54n,6684.0
Lars Ulrich,/m/020hh3,6625.0
AFI,/m/0143q0,6621.0
Nas,/m/01v40wd,6557.0
Win Butler,/m/05bz1b,6530.0
2 Chainz,/m/0j45n9v,6507.0
Paul McCartney,/m/03j24kf,6500.0
Justin Moore,/m/04grfr0,6488.0
Red Hot Chili Peppers,/m/06mj4,6412.0
Guns N' Roses,/m/081wh1,6411.0
Muse,/m/0187x8,6371.0
Pitbull,/m/03f0qd7,6358.0
Brand New,/m/0367np,6331.0
Sigur Rós,/m/01324k,6326.0
Trivium,/m/081skl,6297.0
Relient K,/m/06g721,6252.0
Macklemore,/m/0crcmvm,6223.0
Yeah Yeah Yeahs,/m/01tm_l,6188.0
P-Square,/m/0c_hn2,6153.0
Meek Mill,/m/0gkzp28,6074.0
Tamar,/m/01q9f7y,6068.0
M.I.A.,/m/01vt5c_,6029.0
Enrique Iglesias,/m/01s7ns,5989.0
Priyanka Chopra,/m/03fwln,5943.0
Florence and the Machine,/m/04zvkdd,5932.0
Limp Bizkit,/m/04qzm,5781.0
Earl Sweatshirt,/m/0g588b7,5714.0
ASAP Rocky,/m/0hhqp47,5673.0
Tim McGraw,/m/02lk95,5640.0
Juicy J,/m/01q_39r,5585.0
Fred Durst,/m/01q7cb_,5580.0
Girl Talk,/m/01wqphl,5572.0
Don Henley,/m/01xzb6,5552.0
Karnivool,/m/01rjpff,5438.0
